bot_a,bot_b,seed,a_was_first,winner_seat,winner_a_or_b,n_turns,stalemate,duration_ms
pimc_default,rules_full,12399,1,1,1,180,1,24258.652
pimc_default,rules_full,12400,0,0,1,120,0,15929.772
pimc_default,rules_full,12400,1,1,1,129,0,18360.478
pimc_default,rules_full,12401,0,0,1,119,1,16383.841
pimc_default,rules_full,12401,1,0,0,124,1,16928.641
pimc_default,rules_full,12403,1,1,1,188,0,15105.032
pimc_default,rules_full,12399,0,1,0,164,1,23310.314
pimc_default,rules_full,12402,0,0,1,128,0,18843.284
pimc_default,rules_full,12402,1,1,1,141,0,20944.511
pimc_default,rules_full,12403,0,0,1,90,0,18350.020
pimc_default,rules_full,12405,1,1,1,127,0,17283.853
pimc_default,rules_full,12404,0,0,1,154,1,20259.666
pimc_default,rules_full,12404,1,0,0,175,1,23451.554
pimc_default,rules_full,12406,1,1,1,83,0,14275.779
pimc_default,rules_full,12405,0,0,1,102,0,19787.248
pimc_default,rules_full,12408,1,0,0,141,1,14922.396
pimc_default,rules_full,12409,1,0,0,164,1,21243.992
pimc_default,rules_full,12408,0,1,0,176,1,22305.682
pimc_default,rules_full,12407,0,1,0,166,1,24207.416
pimc_default,rules_full,12410,1,1,1,174,1,18953.674
pimc_default,rules_full,12407,1,1,1,107,0,26039.826
pimc_default,rules_full,12406,0,0,1,136,0,26105.444
pimc_default,rules_full,12411,1,0,0,117,1,17699.704
pimc_default,rules_full,12412,1,0,0,157,1,15792.737
pimc_default,rules_full,12410,0,1,0,150,1,21175.885
pimc_default,rules_full,12413,1,1,1,85,0,15407.191
pimc_default,rules_full,12409,0,1,0,163,1,23935.929
pimc_default,rules_full,12412,0,0,1,142,0,22584.545
pimc_default,rules_full,12411,0,1,0,173,0,26082.996
pimc_default,rules_full,12413,0,0,1,164,0,24371.546
pimc_default,rules_full,12415,1,0,0,173,1,15705.321
pimc_default,rules_full,12416,1,0,0,170,1,15178.703
pimc_default,rules_full,12414,1,1,1,145,0,19125.444
pimc_default,rules_full,12417,0,1,0,165,0,15588.470
pimc_default,rules_full,12416,0,0,1,150,0,18369.157
pimc_default,rules_full,12415,0,0,1,124,0,19394.542
pimc_default,rules_full,12414,0,0,1,141,1,21489.717
pimc_default,rules_full,12417,1,0,0,126,1,21159.312
pimc_default,rules_full,12419,1,0,0,143,1,21270.131
pimc_default,rules_full,12418,0,1,0,95,0,22928.056
pimc_default,rules_full,12418,1,1,1,174,0,25162.123
pimc_default,rules_full,12421,0,1,0,108,1,12645.925
pimc_default,rules_full,12419,0,0,1,136,0,19691.739
pimc_default,rules_full,12420,1,0,0,168,0,20489.075
pimc_default,rules_full,12423,1,1,1,132,1,14597.492
pimc_default,rules_full,12422,1,1,1,57,0,15509.911
pimc_default,rules_full,12423,0,0,1,94,0,17794.389
pimc_default,rules_full,12421,1,1,1,171,1,24463.898
pimc_default,rules_full,12420,0,1,0,119,0,25883.508
pimc_default,rules_full,12425,0,0,1,92,0,16022.844
pimc_default,rules_full,12425,1,1,1,156,0,17570.783
pimc_default,rules_full,12426,1,0,0,127,1,15059.510
pimc_default,rules_full,12424,0,1,0,167,1,20263.667
pimc_default,rules_full,12422,0,0,1,128,0,26281.160
pimc_default,rules_full,12424,1,1,1,153,0,24582.548
pimc_default,rules_full,12426,0,0,1,72,0,17587.696
pimc_default,rules_full,12427,0,0,1,186,0,16447.987
pimc_default,rules_full,12429,1,0,0,135,1,14397.147
pimc_default,rules_full,12427,1,1,1,151,0,24148.889
pimc_default,rules_full,12428,0,0,1,138,0,20326.743
pimc_default,rules_full,12428,1,0,0,196,1,22708.894
pimc_default,rules_full,12430,0,1,0,144,1,17571.837
pimc_default,rules_full,12433,1,1,1,71,0,14071.666
pimc_default,rules_full,12431,1,1,1,161,0,17588.167
pimc_default,rules_full,12430,1,0,0,139,1,19717.346
pimc_default,rules_full,12429,0,0,1,158,1,21343.786
pimc_default,rules_full,12431,0,1,0,172,0,18643.228
pimc_default,rules_full,12433,0,0,1,148,0,16981.708
pimc_default,rules_full,12432,0,0,1,86,0,18656.490
pimc_default,rules_full,12432,1,1,1,87,0,20345.937
pimc_default,rules_full,12434,0,0,1,127,1,12894.966
pimc_default,rules_full,12434,1,1,1,150,1,20457.956
pimc_default,rules_full,12435,0,0,1,161,1,20311.813
pimc_default,rules_full,12439,1,1,1,142,1,13463.452
pimc_default,rules_full,12436,0,1,0,136,1,15931.543
pimc_default,rules_full,12438,1,0,0,125,1,16620.350
pimc_default,rules_full,12437,1,1,1,137,1,18815.275
pimc_default,rules_full,12435,1,1,1,148,1,25163.780
pimc_default,rules_full,12436,1,0,0,153,1,23817.856
pimc_default,rules_full,12438,0,0,1,162,1,20365.677
pimc_default,rules_full,12440,0,0,1,144,0,17955.608
pimc_default,rules_full,12437,0,1,0,176,1,23362.997
pimc_default,rules_full,12440,1,1,1,145,0,21348.614
pimc_default,rules_full,12441,1,1,1,119,0,20570.706
pimc_default,rules_full,12442,0,0,1,58,0,11450.309
pimc_default,rules_full,12442,1,0,0,142,1,12486.803
pimc_default,rules_full,12439,0,1,0,179,0,25970.332
pimc_default,rules_full,12441,0,0,1,151,0,20342.887
pimc_default,rules_full,12444,0,1,0,125,1,11171.016
pimc_default,rules_full,12443,1,1,1,141,1,15388.910
pimc_default,rules_full,12444,1,1,1,148,0,12678.083
pimc_default,rules_full,12443,0,1,0,148,1,15226.076
